engine_name,path,rating,uci_options,executable_name
maia_1100,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1100.bat",1100,"{}",m1100.bat
maia_1200,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1200.bat",1200,"{}",m1200.bat
maia_1300,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1300.bat",1300,"{}",m1300.bat
maia_1400,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1400.bat",1400,"{}",m1400.bat
maia_1500,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1500.bat",1500,"{}",m1500.bat
maia_1600,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1600.bat",1600,"{}",m1600.bat
maia_1700,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1700.bat",1700,"{}",m1700.bat
maia_1800,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1800.bat",1800,"{}",m1800.bat
maia_1900,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/leela_chess/m1900.bat",1900,"{}",m1900.bat
dragon,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/dragon/dragon_05e2a7/Windows/dragon-64bit.exe",3541,"{}",dragon-64bit.exe
stockfish_full_test,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",3644,"{}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_full_1,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",3644,"{}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1350,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1350,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1350}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1450,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1450,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1450}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1550,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1550,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1550}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1650,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1650,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1650}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1750,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1750,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1750}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1850,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1850,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1850}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_1950,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",1950,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 1950}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_2100,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",2100,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 2100}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_2300,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",2300,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 2300}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_2500,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",2500,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 2500}",stockfish-windows-x86-64-sse41-popcnt.exe
stockfish_elo_2700,"C:/Users/desja/Documents/my_programming/chess_analysis/engines/stockfish/stockfish-windows-x86-64-sse41-popcnt.exe",2700,"{""UCI_LimitStrength"": ""true"", ""UCI_Elo"": 2700}",stockfish-windows-x86-64-sse41-popcnt.exe
